327 stars read from HYG database file hygxyz.csv
..Sol -> Proxima Centauri, distance = 1.29, cumulative = 1.29
..Gliese GJ 1245 A -> Gliese GJ 1245 B, distance = 0.00, cumulative = 409.59
..Gliese GJ 1245 B -> 61    Cyg, distance = 1.60, cumulative = 411.19
..61    Cyg -> 61    Cyg, distance = 0.02, cumulative = 411.21
..61    Cyg -> Kruger 60, distance = 1.58, cumulative = 412.79
..Kruger 60 -> Gliese Gl 860  B, distance = 0.00, cumulative = 412.80
..Gliese Gl 860  B -> Gliese Gl 905, distance = 1.38, cumulative = 414.18
..Gliese Gl 905 -> Gliese Gl  15  B, distance = 0.55, cumulative = 414.73
..Gliese Gl  15  B -> Gliese Gl  15  A, distance = 0.00, cumulative = 414.73
..Gliese Gl  15  A -> Gliese Gl 873, distance = 1.91, cumulative = 416.64
..Gliese Gl 873 -> Van Maanen's Star, distance = 3.83, cumulative = 420.48
..Van Maanen's Star -> Gliese Gl  83.1, distance = 1.47, cumulative = 421.95
..Gliese Gl  83.1 -> 96 G. Psc, distance = 3.57, cumulative = 425.52
..96 G. Psc -> Gliese NN 3119, distance = 3.86, cumulative = 429.37
..Gliese NN 3119 -> Gliese Gl  84, distance = 2.11, cumulative = 431.48
..Gliese Gl  84 -> Gliese NN 3135, distance = 2.07, cumulative = 433.55
..Gliese NN 3135 -> Gliese GJ 1028, distance = 3.15, cumulative = 436.70
..Gliese GJ 1028 -> Gliese GJ 2012, distance = 1.20, cumulative = 437.90
..Gliese GJ 2012 -> Gliese GJ 2005, distance = 2.56, cumulative = 440.47
..Gliese GJ 2005 -> Gliese Gl 915, distance = 2.23, cumulative = 442.70
..Gliese Gl 915 -> Gliese GJ 1001, distance = 1.84, cumulative = 444.54
..Gliese GJ 1001 -> Gliese NN 3049, distance = 1.29, cumulative = 445.82
..Gliese NN 3049 -> Gliese NN 4360, distance = 4.66, cumulative = 450.49
..Gliese NN 4360 -> Gliese Gl 849, distance = 4.04, cumulative = 454.53
..Gliese Gl 849 -> Gliese Gl 831  A, distance = 1.75, cumulative = 456.28
..Gliese Gl 831  A -> Gliese Gl 831  B, distance = 0.00, cumulative = 456.28
..Gliese Gl 831  B -> Gliese Gl 791.2, distance = 3.67, cumulative = 459.95
..Gliese Gl 791.2 -> Gliese GJ 1256, distance = 1.50, cumulative = 461.45
..Gliese GJ 1256 -> Gliese GJ 1253, distance = 7.06, cumulative = 468.51
..Gliese GJ 1253 -> Gliese Gl 661  B, distance = 5.12, cumulative = 473.63
..Gliese Gl 661  B -> Gliese Gl 661  A, distance = 0.00, cumulative = 473.63
..Gliese Gl 661  A -> Gliese NN 3991, distance = 0.96, cumulative = 474.59
..Gliese NN 3991 -> Gliese Gl 623, distance = 1.45, cumulative = 476.04
..Gliese Gl 623 -> Gliese Gl 625, distance = 1.64, cumulative = 477.69
..Gliese Gl 625 -> Unnamed star 85346, distance = 3.54, cumulative = 481.23
..Unnamed star 85346 -> Gliese Gl 445, distance = 5.56, cumulative = 486.79
..Gliese Gl 445 -> Gliese Gl 169.1B, distance = 3.39, cumulative = 490.18
..Gliese Gl 169.1B -> Gliese Gl 169.1A, distance = 0.00, cumulative = 490.18
..Gliese Gl 169.1A -> Gliese Wo 9492, distance = 7.92, cumulative = 498.10
..Gliese Wo 9492 -> Gliese NN 3855, distance = 1.12, cumulative = 499.22
..Gliese NN 3855 -> Gliese Gl 678.1A, distance = 10.42, cumulative = 509.64
..Gliese Gl 678.1A -> Gliese GJ 1207, distance = 2.24, cumulative = 511.88
..Gliese GJ 1207 -> 12    Oph, distance = 0.96, cumulative = 512.84
